02/09/2022,-14.30,*,,MCDONALD'S F7604 GRAND JUNCTIO CO S302039725662225 CARD 9179,Eating Out
02/08/2022,-20.01,*,,STINKER #321 GRAND JUNCTIO CO P000000571624472 CARD 9179,Gas/Oil
02/08/2022,-32.73,*,,NINTENDO *AMERI 800-255-3700 WA S302038058388742 CARD 1003,Sethy $
02/07/2022,-3.00,*,,Subscription Acorns 020722 RK2753 Elise Ely,Lisey $
02/07/2022,-3433.62,*,,UNIV OF CO BLDR CU BOULDER 220204 XXXXX6541 Seth Ely,Misc.
02/07/2022,-61.50,*,,TARGET T- 2424 Highway Grand Junctio CO P000000531187618 CARD 1003,Groceries
02/07/2022,-40.00,*,,ZOUP EATERY - 7TH GRAND JUNCTIO CO S382037701145367 CARD 1003,Eating Out
02/07/2022,-10.80,*,,"COPEKA COFFEE, Grand Junctio CO S302037567462149 CARD 9179",Coffee
02/07/2022,-78.67,*,,ULTA #313 GRAND JUNCTIO CO P000000482769220 CARD 9179,Lisey $
02/07/2022,-51.75,*,,CITY MARKET #025 630 24 R GRAND JUNCTIO CO P302037028375854 CARD 9179,Groceries
02/07/2022,-6.00,*,,DISCOVER GOODWILL GRAND JUNCTIO CO S302037025332356 CARD 9179,Clothes $
02/07/2022,-20.48,*,,A & W RESTAURANT GRAND JUNCTIO CO S582037012372759 CARD 1003,Eating Out
02/07/2022,-11.33,*,,TST* COSTA VIDA - GRAND JUNCTIO CO S382036859456678 CARD 9179,Eating Out
02/07/2022,-33.96,*,,TST* Pablos Pizza Grand Junctio CO S302036002771057 CARD 1003,Eating Out
02/07/2022,-16.26,*,,WENDY'S 3735 GRAND JUNCTIO CO S462035057009661 CARD 1003,Eating Out
02/04/2022,-21.70,*,,POLLO AZADO GRAND JUNCTIO CO S382034718150799 CARD 1003,Eating Out
02/04/2022,416.88,*,,"INT'L CHURCH OF QUICKBOOKS 220204 XXXXX3185 ELY, SETH M",Misc.
02/03/2022,-5.00,*,,Acorns Invest Transfer 020322 2MDBPX Elise Ely,Misc.
02/03/2022,-140.42,*,,SPROUTS FARMERS MKT#324 GRAND JUNCTIO CO P382034757029575 CARD 9179,Groceries
02/03/2022,-14.06,*,,HLU*Hulu 859581147 HULU.COM/BILL CA S302033192122724 CARD 1003,Netflix/Spotify
02/02/2022,-34.70,*,,MAIN STREET BAGELS 970-2412740 CO S462032694731155 CARD 9179,Eating Out
02/02/2022,-43.18,*,,NTTA Collect 866-2 844-7245158 FL S382032687729824 CARD 1003,Misc.
02/02/2022,-18.38,*,,"COPEKA COFFEE, Grand Junctio CO S382032659539485 CARD 9179",Coffee
02/02/2022,-7.56,*,,DisneyPLUS 888-9057888 CA S302032186630629 CARD 1003,Netflix/Spotify
02/02/2022,860.00,*,,ZELLE FROM ELY M ON 02/02 REF # PP0Q85NQZB MONTH OF FEB,Misc.
02/01/2022,-115.00,*,,ENCOUNTER COUNSELI STRIPE.COM CO S302031824016912 CARD 9179,Counseling
02/01/2022,-68.47,*,,MASKSHEETS HTTPSMASKSHEE DE S462031661258813 CARD 9179,Lisey $
02/01/2022,-108.00,*,,OUTBACK #0621 GRAND JUNCTIO CO S462031101942531 CARD 1003,Eating Out
01/31/2022,-23.64,*,,Wal-Mart Super Center GRAND JUNCTIO CO P000000673123009 CARD 9179,Groceries
01/31/2022,-9.73,*,,Netflix.com 408-5403700 CA S382029370244326 CARD 1003,Netflix/Spotify
01/31/2022,-22.54,*,,EXXONMOBIL 4827 GRAND JUNCTIO CO S462029119239334 CARD 1003,Gas/Oil
01/31/2022,-11.31,*,,MCDONALD'S F7604 GRAND JUNCTIO CO S302028737609116 CARD 9179,Eating Out
01/31/2022,-139.95,*,,U-HAUL MOVING & ST 800-789-3638 CO S382027830018759 CARD 1003,Misc.
